Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
Unnamed,RO,448,404,188.214.30.203,age.featuredstandards.com,18541,27986,0,0,1,0,0,1,1,1,1,Tor 0.2.9.12 on Linux,0,0,2017-10-27,THCPROJECTS- RO,51177,1480,None
Unnamed,DE,260,174,31.17.231.1,ip1f11e701.dynamic.kabel-deutschland.de,9001,None,0,0,1,1,0,1,1,1,0,Tor 0.2.9.11 on Linux,0,0,2017-11-19,KABELDEUTSCHLAND-AS- DE,31334,2230,None
Unnamed,CH,165,92,84.74.211.66,84-74-211-66.dclient.hispeed.ch,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.9.11 on Linux,0,0,2017-10-11,LGI-UPC formerly known as UPC Broadband Holding B.V.- AT,6830,470,None
Unnamed,FR,546,592,51.255.211.235,235.211.255.51.rdns.lunanode.com,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.3.1.8 on Linux,0,0,2016-02-29,OVH- FR,16276,1310,None
Unnamed,ES,1,906,95.215.60.238,95.215.60.238,26280,31527,0,0,1,0,0,0,1,1,1,Tor 0.2.9.12 on Linux,0,0,2017-10-27,SOLOGIGABIT-AS- ES,56934,22,None
Unnamed,US,65,1479,52.43.180.182,ec2-52-43-180-182.us-west-2.compute.amazonaws.com,9001,None,0,0,1,0,0,1,1,1,1,Tor 0.2.9.11 on Linux,0,0,2017-10-02,AMAZON-02 - Amazon.com- Inc.- US,16509,131,None
Unnamed,JP,524,85,103.250.73.13,103.250.73.13,30491,16839,0,1,1,0,0,0,1,1,1,Tor 0.2.9.12 on Linux,0,0,2017-11-30,ASN-EQUINIX-AP Equinix Asia Pacific- SG,17819,110,None
Unnamed,JP,182,7211,108.61.182.74,108.61.182.74.vultr.com,443,80,0,0,1,0,0,1,1,1,1,Tor 0.2.5.12 on Linux,0,0,2016-07-12,AS-CHOOPA - Choopa- LLC- US,20473,776,None
Unnamed,IN,159,589,139.59.78.113,139.59.78.113,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.3.1.8 on Linux,0,0,2017-11-09,DIGITALOCEAN-ASN - Digital Ocean- Inc.- US,14061,516,None
Unnamed,DE,44,152,141.54.159.184,medsec.medien.uni-weimar.de,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.3.1.8 on Linux,0,0,2013-04-13,DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.- DE,680,116,None
Unnamed,GB,21,407,80.229.140.239,jdpark.plus.com,8443,9030,0,0,1,0,0,1,1,1,1,Tor 0.3.0.10 on Windows 7,0,0,2015-11-19,PLUSNET UK Internet Service Provider- GB,6871,59,None
Unnamed,US,128,4221,104.131.206.23,do.thuejk.dk,443,None,0,0,1,0,0,1,1,1,0,Tor 0.2.4.29 on Linux,0,0,2014-08-04,DIGITALOCEAN-ASN-NY2 - Digital Ocean- Inc.- US,62567,433,None
Unnamed,DE,598,421,144.76.218.150,static.150.218.76.144.clients.your-server.de,15402,32154,0,0,1,0,0,1,1,1,1,Tor 0.2.9.12 on Linux,0,0,2017-11-16,HETZNER-AS- DE,24940,1740,None
Unnamed,GB,460,639,178.79.182.63,li351-63.members.linode.com,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.3.1.8 on Linux,0,0,2017-10-31,LINODE-AP Linode- LLC- US,63949,1760,None
Unnamed,US,540,640,45.79.197.155,li1296-155.members.linode.com,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.3.1.8 on Linux,0,0,2017-11-07,LINODE-AP Linode- LLC- US,63949,1770,None
Unnamed,MD,262,1147,176.123.10.67,176-123-10-67.alexhost.md,11965,19524,0,0,1,0,0,1,1,1,1,Tor 0.2.9.12 on Linux,0,0,2017-08-15,AXAUTSYS Republic of Moldova- MD,15836,1030,None
Unnamed,AR,2,149,131.255.5.239,131.255.5.239.superbit.host,25528,32751,0,0,1,0,0,0,1,1,1,Tor 0.2.9.12 on Linux,0,0,2017-11-23,InterBS S.R.L. (BAEHOST)- AR,61493,76,None
Unnamed,SE,148,119,85.230.21.5,c-0515e655.041-66-73746f43.cust.bredbandsbolaget.se,9001,9010,0,0,1,0,0,0,1,1,1,Tor 0.2.9.10 on Windows Vista,0,0,2017-11-17,TELENOR-NEXTEL Telenor Norge AS- NO,2119,60,None
Unnamed,CR,317,496,200.122.181.98,200.122.181.98,32117,20884,0,0,1,0,0,1,1,1,1,Tor 0.2.9.12 on Linux,0,0,2017-11-13,RADIOGRAFICA COSTARRICENSE- CR,3790,1080,None
